1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,30,66647,6119556,Orange,Placentia-Yorba Linda Unified,Parkview,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,195,7,3.60%,7,3.60%,191,7,3.70%,7,3.70%,Y
2014-2015,30,66670,1,Orange,Santa Ana Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,22,1,4.50%,2,9.10%,19,1,5.30%,2,10.50%,Y
2014-2015,30,66670,101626,Orange,Santa Ana Unified,Edward B. Cole Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,578,Directly funded,Y,K,5,401,354,88.30%,380,94.80%,401,354,88.30%,380,94.80%,Y
2014-2015,30,66670,106567,Orange,Santa Ana Unified,Nova Academy,Unified School District,High Schools (Public),Traditional,,Y,632,Directly funded,Y,9,12,402,271,67.40%,331,82.30%,386,261,67.60%,319,82.60%,Y
2014-2015,30,66670,108365,Orange,Santa Ana Unified,Segerstrom High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"2,544","2,174",85.50%,"2,183",85.80%,"2,480","2,119",85.40%,"2,128",85.80%,Y
2014-2015,30,66670,108373,Orange,Santa Ana Unified,Manuel Esqueda Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,7,"1,270","1,149",90.50%,"1,150",90.60%,"1,256","1,144",91.10%,"1,145",91.20%,Y
2014-2015,30,66670,109066,Orange,Santa Ana Unified,Orange County Educational Arts Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,701,Directly funded,Y,K,8,568,283,49.80%,413,72.70%,561,281,50.10%,408,72.70%,Y
2014-2015,30,66670,114736,Orange,Santa Ana Unified,Hector G. Godinez,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"2,613","2,411",92.30%,"2,415",92.40%,"2,522","2,330",92.40%,"2,334",92.50%,Y
2014-2015,30,66670,116582,Orange,Santa Ana Unified,Heroes Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,636,587,92.30%,588,92.50%,622,580,93.20%,580,93.20%,Y
2014-2015,30,66670,3030475,Orange,Santa Ana Unified,Cesar E. Chavez High,Unified School District,Continuation High Schools,Continuation School,CEP                                               ,N,,,N,9,12,296,265,89.50%,265,89.50%,209,195,93.30%,195,93.30%,Y
2014-2015,30,66670,3030491,Orange,Santa Ana Unified,Century High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"1,864","1,747",93.70%,"1,749",93.80%,"1,761","1,650",93.70%,"1,652",93.80%,Y
2014-2015,30,66670,3030608,Orange,Santa Ana Unified,Middle College High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2                                       ,N,,,N,9,12,328,297,90.50%,297,90.50%,326,295,90.50%,295,90.50%,Y
2014-2015,30,66670,3030723,Orange,Santa Ana Unified,OCSA,Unified School District,High Schools (Public),Traditional,,Y,290,Directly funded,Y,7,12,"1,922",200,10.40%,200,10.40%,"1,896",198,10.40%,198,10.40%,Y
2014-2015,30,66670,3034998,Orange,Santa Ana Unified,Lorin Griset Academy,Unified School District,Continuation High Schools,Continuation School,CEP                                               ,N,,,N,9,12,351,323,92.00%,323,92.00%,263,244,92.80%,244,92.80%,Y
2014-2015,30,66670,3035821,Orange,Santa Ana Unified,Saddleback High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"1,690","1,529",90.50%,"1,529",90.50%,"1,600","1,450",90.60%,"1,450",90.60%,Y
2014-2015,30,66670,3036357,Orange,Santa Ana Unified,Santa Ana High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"2,741","2,542",92.70%,"2,545",92.80%,"2,593","2,408",92.90%,"2,411",93.00%,Y
2014-2015,30,66670,3036456,Orange,Santa Ana Unified,Valley High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"2,263","2,035",89.90%,"2,037",90.00%,"2,112","1,896",89.80%,"1,898",89.90%,Y
2014-2015,30,66670,6030209,Orange,Santa Ana Unified,Adams Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,525,454,86.50%,459,87.40%,506,445,87.90%,448,88.50%,Y
2014-2015,30,66670,6030217,Orange,Santa Ana Unified,Andrew Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,"1,065",948,89.00%,955,89.70%,"1,041",934,89.70%,941,90.40%,Y
2014-2015,30,66670,6030225,Orange,Santa Ana Unified,Carl Harvey Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,468,397,84.80%,397,84.80%,456,394,86.40%,394,86.40%,Y
2014-2015,30,66670,6030233,Orange,Santa Ana Unified,Diamond Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,588,532,90.50%,535,91.00%,578,527,91.20%,530,91.70%,Y
2014-2015,30,66670,6030241,Orange,Santa Ana Unified,Thomas A. Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,606,539,88.90%,540,89.10%,588,531,90.30%,531,90.30%,Y
2014-2015,30,66670,6030266,Orange,Santa Ana Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,695,611,87.90%,614,88.30%,681,606,89.00%,609,89.40%,Y
2014-2015,30,66670,6030274,Orange,Santa Ana Unified,Hoover Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,437,374,85.60%,376,86.00%,432,373,86.30%,375,86.80%,Y
2014-2015,30,66670,6030282,Orange,Santa Ana Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,820,621,75.70%,626,76.30%,795,612,77.00%,616,77.50%,Y
2014-2015,30,66670,6030308,Orange,Santa Ana Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,974,847,87.00%,850,87.30%,952,839,88.10%,842,88.40%,Y
2014-2015,30,66670,6030316,Orange,Santa Ana Unified,Lowell Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,915,823,89.90%,823,89.90%,893,813,91.00%,813,91.00%,Y
2014-2015,30,66670,6030324,Orange,Santa Ana Unified,Madison Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,6,"1,118","1,021",91.30%,"1,027",91.90%,"1,097","1,016",92.60%,"1,021",93.10%,Y
2014-2015,30,66670,6030332,Orange,Santa Ana Unified,Martin Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,777,690,88.80%,690,88.80%,752,683,90.80%,683,90.80%,Y
2014-2015,30,66670,6030357,Orange,Santa Ana Unified,Monroe Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,490,397,81.00%,400,81.60%,477,393,82.40%,396,83.00%,Y
2014-2015,30,66670,6030365,Orange,Santa Ana Unified,Monte Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,637,583,91.50%,583,91.50%,613,571,93.10%,571,93.10%,Y
2014-2015,30,66670,6030399,Orange,Santa Ana Unified,Theodore Roosevelt Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,760,672,88.40%,673,88.60%,737,668,90.60%,669,90.80%,Y
2014-2015,30,66670,6030407,Orange,Santa Ana Unified,Santiago Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,8,"1,247",930,74.60%,939,75.30%,"1,228",925,75.30%,934,76.10%,Y
2014-2015,30,66670,6030415,Orange,Santa Ana Unified,Sierra Preparatory Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP                                               ,N,,,N,6,8,978,943,96.40%,943,96.40%,978,943,96.40%,943,96.40%,Y
2014-2015,30,66670,6030431,Orange,Santa Ana Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,908,808,89.00%,813,89.50%,887,797,89.90%,802,90.40%,Y
2014-2015,30,66670,6030449,Orange,Santa Ana Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,780,664,85.10%,664,85.10%,762,654,85.80%,654,85.80%,Y
2014-2015,30,66670,6058978,Orange,Santa Ana Unified,Julia C. Lathrop Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,"1,018",989,97.20%,989,97.20%,"1,018",989,97.20%,989,97.20%,Y
2014-2015,30,66670,6058986,Orange,Santa Ana Unified,Gerald P. Carr Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,"1,557","1,502",96.50%,"1,503",96.50%,"1,557","1,502",96.50%,"1,503",96.50%,Y
2014-2015,30,66670,6061741,Orange,Santa Ana Unified,McFadden Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,"1,374","1,266",92.10%,"1,271",92.50%,"1,374","1,266",92.10%,"1,271",92.50%,Y
2014-2015,30,66670,6061758,Orange,Santa Ana Unified,Willard Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP                                               ,N,,,N,5,8,878,836,95.20%,838,95.40%,878,836,95.20%,838,95.40%,Y
2014-2015,30,66670,6071195,Orange,Santa Ana Unified,Taft Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,641,516,80.50%,520,81.10%,623,511,82.00%,515,82.70%,Y
2014-2015,30,66670,6094684,Orange,Santa Ana Unified,Spurgeon Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,5,8,992,925,93.20%,928,93.50%,992,925,93.20%,928,93.50%,Y
2014-2015,30,66670,6095152,Orange,Santa Ana Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,473,420,88.80%,420,88.80%,457,414,90.60%,414,90.60%,Y
2014-2015,30,66670,6098552,Orange,Santa Ana Unified,John Muir Fundamental Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,"1,078",781,72.40%,793,73.60%,"1,061",776,73.10%,787,74.20%,Y
2014-2015,30,66670,6099816,Orange,Santa Ana Unified,Greenville Fundamental Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,"1,070",788,73.60%,801,74.90%,"1,050",786,74.90%,798,76.00%,Y
2014-2015,30,66670,6102826,Orange,Santa Ana Unified,Douglas MacArthur Fundamental Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,"1,235","1,020",82.60%,"1,025",83.00%,"1,235","1,020",82.60%,"1,025",83.00%,Y
2014-2015,30,66670,6102875,Orange,Santa Ana Unified,Frederick Remington Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,319,289,90.60%,291,91.20%,311,286,92.00%,288,92.60%,Y
2014-2015,30,66670,6106165,Orange,Santa Ana Unified,Jose Sepulveda Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,462,409,88.50%,409,88.50%,449,399,88.90%,399,88.90%,Y
2014-2015,30,66670,6107692,Orange,Santa Ana Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,817,759,92.90%,759,92.90%,788,743,94.30%,743,94.30%,Y
2014-2015,30,66670,6108484,Orange,Santa Ana Unified,Garfield Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,738,670,90.80%,671,90.90%,722,663,91.80%,664,92.00%,Y
2014-2015,30,66670,6109904,Orange,Santa Ana Unified,Pio Pico Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,614,550,89.60%,551,89.70%,604,546,90.40%,547,90.60%,Y
2014-2015,30,66670,6110175,Orange,Santa Ana Unified,George Washington Carver Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,3,675,555,82.20%,556,82.40%,651,547,84.00%,547,84.00%,Y
2014-2015,30,66670,6110183,Orange,Santa Ana Unified,Martin R. Heninger Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,"1,131","1,037",91.70%,"1,037",91.70%,"1,108","1,026",92.60%,"1,026",92.60%,Y
2014-2015,30,66670,6111298,Orange,Santa Ana Unified,Walker Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,534,477,89.30%,477,89.30%,520,471,90.60%,471,90.60%,Y
2014-2015,30,66670,6113377,Orange,Santa Ana Unified,Martin Luther King Jr. Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,801,721,90.00%,721,90.00%,786,716,91.10%,716,91.10%,Y
2014-2015,30,66670,6114631,Orange,Santa Ana Unified,Wallace R. Davis Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP                                               ,N,,,N,K,5,728,680,93.40%,681,93.50%,707,666,94.20%,667,94.30%,Y
2014-2015,30,66670,6115133,Orange,Santa Ana Unified,Community Day Intermediate and High,Unified School District,District Community Day Schools,Community Day School,Provision 2                                       ,N,,,N,7,12,76,61,80.30%,61,80.30%,73,58,79.50%,58,79.50%,Y
2014-2015,30,66670,6115588,Orange,Santa Ana Unified,Raymond A. Villa Fundamental Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,"1,348","1,312",97.30%,"1,313",97.40%,"1,348","1,312",97.30%,"1,313",97.40%,Y
2014-2015,30,66670,6115836,Orange,Santa Ana Unified,Lydia Romero-Cruz Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,4,5,256,245,95.70%,245,95.70%,256,245,95.70%,245,95.70%,Y
2014-2015,30,66670,6116917,Orange,Santa Ana Unified,Jim Thorpe Fundamental,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,"1,039",812,78.20%,827,79.60%,"1,029",810,78.70%,825,80.20%,Y
2014-2015,30,66670,6117899,Orange,Santa Ana Unified,Gonzalo Felicitas Mendez Fundamental Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,5,8,"1,378","1,306",94.80%,"1,308",94.90%,"1,378","1,306",94.80%,"1,308",94.90%,Y
2014-2015,30,66670,6119127,Orange,Santa Ana Unified,El Sol Santa Ana Science and Arts Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,365,Directly funded,Y,K,6,884,488,55.20%,634,71.70%,867,479,55.20%,623,71.90%,Y
2014-2015,30,66696,1,Orange,Savanna Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,7,2,28.60%,3,42.90%,7,2,28.60%,3,42.90%,Y
2014-2015,30,66696,6030456,Orange,Savanna Elementary,Cerritos Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,502,202,40.20%,285,56.80%,487,195,40.00%,276,56.70%,Y
2014-2015,30,66696,6030464,Orange,Savanna Elementary,Hansen Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,782,539,68.90%,635,81.20%,758,522,68.90%,614,81.00%,Y
2014-2015,30,66696,6030472,Orange,Savanna Elementary,Holder Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,444,257,57.90%,325,73.20%,419,245,58.50%,312,74.50%,Y
2014-2015,30,66696,6030506,Orange,Savanna Elementary,Twila Reid Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,657,415,63.20%,516,78.50%,645,411,63.70%,509,78.90%,Y
2014-2015,30,66746,1,Orange,Westminster,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,10,1,10.00%,1,10.00%,10,1,10.00%,1,10.00%,Y
2014-2015,30,66746,119925,Orange,Westminster,Ada Clegg Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,558,214,38.40%,263,47.10%,547,209,38.20%,257,47.00%,Y
2014-2015,30,66746,6030712,Orange,Westminster,Helen Stacey Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,907,381,42.00%,469,51.70%,907,381,42.00%,469,51.70%,Y
2014-2015,30,66746,6030720,Orange,Westminster,Schroeder Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,636,163,25.60%,191,30.00%,629,163,25.90%,190,30.20%,Y
2014-2015,30,66746,6030738,Orange,Westminster,Demille Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,434,330,76.00%,370,85.30%,424,320,75.50%,360,84.90%,Y
2014-2015,30,66746,6030753,Orange,Westminster,Finley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,407,273,67.10%,334,82.10%,398,267,67.10%,325,81.70%,Y
2014-2015,30,66746,6030761,Orange,Westminster,Eastwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,520,106,20.40%,136,26.20%,509,103,20.20%,133,26.10%,Y
2014-2015,30,66746,6030787,Orange,Westminster,Fryberger Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,468,244,52.10%,290,62.00%,455,237,52.10%,281,61.80%,Y
2014-2015,30,66746,6030795,Orange,Westminster,Anderson Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,643,449,69.80%,521,81.00%,628,436,69.40%,507,80.70%,Y
